Gene.name	P12955_161	P12955_162	P12955_169	P12955_170	P12955_177	P12955_178	P12955_185	P12955_186
A1BG	1.655	2.49944	2.392335	3.107132	3.27257	7.54547	3.00399	3.21224
A1CF	47.773665218	48.324459550426	59.37440694478	47.71433914	53.8223095269114	42.4664714787	48.5216201634438	47.7480585
A2M	362.851	427.178	403.147	423.971	318.631	403.722	281.946	393.993
A2ML1	0	0.0993275	0	0	0	0	0	0.113341
A3GALT2	0	0	0	0	0	0	0	0
A4GALT	0.545555	0.495808	0.538089	0.554828	0.528522	0.363465	1.03969	0.205774
A4GNT	0	0	0	0	0	0	0	0
AAAS	43.043747	35.6268	42.405	35.187892	44.858804315694	35.4746000138298	43.5596	33.26527
AACS	17.1905	16.1777	17.0144	16.2452	16.3763	15.5286	16.2985	15.4446
AADAC	0.271341	0.214695	0.219171	0.431487	0.928072	0.312245	0.876962	0.335042
AADACL2	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0
AADAT	5.67161	9.68746	9.18611	7.83162	6.65981	8.22431	9.27683	7.68091
AAGAB	21.79498	21.018232	20.79688	20.48191	25.51169	28.41165	24.1877	21.90002
AAK1	13.541805	12.555965	13.026794	15.791857	15.260767	15.369434	14.767249	12.951296
AAMDC	19.518372	22.90844	18.8778772	22.926905	15.473515	17.0485325	15.204163	28.005823
AAMP	128.672677901	123.6242	148.55289	128.36142	128.49573442	141.27426	165.6371	124.4809
AANAT	0	0.387376	0.199333	0	0	0	0.475145	0
AAR2	34.815827	29.184737	32.81614	31.85671	33.64426	31.54753	35.87686	27.809549
AARD	0.076442	0.136329	0.300206	0.0039449	0	0.12855	0	0.0577481
AARS	169.907825	154.013	168.902	154.612293	165.661	148.015	163.625	148.322
AARS2	9.72267	8.2909	8.6859	7.84503	10.5521	8.01901	9.24165	7.64614
AARSD1	17.33222	11.4443	4.03099	12.10106	15.3037	9.41786	10.67430561264	14.6847
AASDH	4.618409	5.089924	5.822303	4.875772	3.5703235	5.681372	4.93476337637	6.10062
AASDHPPT	31.73681	30.67978	26.184874	29.52153	23.21832	22.366866173	26.51576	36.43292
